,topk_ret,similarity_score
0,Chunk10,0.532972972972973
10,Chunk7,0.5317117117117117
9,Chunk50,0.5313513513513514
11,Chunk8,0.5302702702702703
12,Chunk9,0.53
7,Chunk3,0.529099099099099
4,Chunk15,0.5285585585585586
1,Chunk11,0.5281981981981982
2,Chunk12,0.5278378378378378
5,Chunk20,0.5277477477477478
8,Chunk5,0.5276576576576576
6,Chunk25,0.5264864864864864
3,Chunk13,0.5262162162162162
17,Neighbor12,0.5254054054054054
19,Neighbor3,0.5251351351351352
22,Neighbor7,0.5251351351351352
18,Neighbor25,0.5228828828828829
20,Neighbor4,0.5211711711711712
21,Neighbor50,0.5177477477477478
13,Document1,0.5146846846846846
15,Document3,0.5133333333333333
14,Document2,0.5127027027027027
16,Document4,0.5117117117117117
