section,title,file_name,document_type,page,total_pages,context,question,answer,similarity_score,BLEU,Cosine
Discussion,The Virtual Human Reliability Analyst ,The Virtual Human Reliability Analyst.pdf,academic paper,9,13,"['tic element but the clinical data is replaced by empirical or simulated plant and oper a tor performance data and treatment procedures are replaced by operating procedures. We also want to include a decision making algorithm much like the ones developed for the clinical AI applications . The primary differ ence between the clinical AI and the work here is that the VHRAM model will include the simulation of human er ror as one of the key aspects. The inspiration for the human error element stems from other fields that develop ed intelligent agents with inherent limitations as to how well they can perform. For entertainment purposes , an intelligent agent opponent in a game has to provide the player with a challenge, without performing so well that the player is without a chance to win . A chess match between a hum an and the chess computer s of today would not be entertain ing, nor would neither a soccer game where every shot made by the opponent is a goal, nor a shooting game where the opponent shoots you repeatedly through the walls . The gaming industry has dealt wi th these challenges for many years and they provide valuable guidance for how t hese ele ments can be inclu d ed in a simulation of the human component in HRA research . The simulated human has to perform realistically, but that a lso means it needs to fail realistically, which represents a prominent challenge . In the future, there could also be other uses for a VHRAM than HRA of a virtual twin. One potential use could be for a combined approach between traditional HRA and VHRAM where the aspects tha t are autopopulated by the VHRAM could be used as part of the information collected by the analyst conducting the traditional HRA. Another possibility is that a VHRAM is running in real time at a NPP anticipating when the actual operator will encounter a s ituation where the PSFs are implying that he or she has an increased chance of making a mistake, as a type of risk monitoring system. 6 Conclusion This paper presented the ideas around the ongoing development of the VHRAM. We believe it is an approach that w ill have value through adding a human component to probability risk analysis simulation s, and other forms of simulations, where it has been historically under represented thus far. Further more , it is an approach that can have impacts outside of this field by contributing to traditional HRA and risk monito r ing systems in physical systems, such as NPPs. Acknowledgments. This paper was written as part of the Risk Informed Safety Ma r gin Characterization RISMC research pathway within the U.S. Department of E ner gy s Light Water Reactor Sustainability LWRS program that aims to extend the life of the currently operating fleet of commercial nuclear power plants. The research presented in this paper aims to feed into the current work on the CoBHRA approach prev iously abbreviated CBHRA called Human Unimodel for Nuclear Technology to Enhance Reliability HUNTER 16,35,36 .']", What is the significance of the VHRAM's potential applications in traditional HRA and risk monitoring systems?," The text argues that the VHRAM could have a broader impact beyond just directly contributing to HRA simulations. It suggests that the VHRAM is an approach ""that can have impacts outside of this field by contributing to traditional HRA and risk monitoring systems.""  This implies that the VHRAM could improve the accuracy and effectiveness of existing risk management techniques in various industries, not just nuclear power.",57,0.000320225,0.565901271
Discussion,The Virtual Human Reliability Analyst ,The Virtual Human Reliability Analyst.pdf,academic paper,9,13,"['tic element but the clinical data is replaced by empirical or simulated plant and oper a tor performance data and treatment procedures are replaced by operating procedures. We also want to include a decision making algorithm much like the ones developed for the clinical AI applications . The primary differ ence between the clinical AI and the work here is that the VHRAM model will include the simulation of human er ror as one of the key aspects. The inspiration for the human error element stems from other fields that develop ed intelligent agents with inherent limitations as to how well they can perform. For entertainment purposes , an intelligent agent opponent in a game has to provide the player with a challenge, without performing so well that the player is without a chance to win . A chess match between a hum an and the chess computer s of today would not be entertain ing, nor would neither a soccer game where every shot made by the opponent is a goal, nor a shooting game where the opponent shoots you repeatedly through the walls . The gaming industry has dealt wi th these challenges for many years and they provide valuable guidance for how t hese ele ments can be inclu d ed in a simulation of the human component in HRA research . The simulated human has to perform realistically, but that a lso means it needs to fail realistically, which represents a prominent challenge . In the future, there could also be other uses for a VHRAM than HRA of a virtual twin. One potential use could be for a combined approach between traditional HRA and VHRAM where the aspects tha t are autopopulated by the VHRAM could be used as part of the information collected by the analyst conducting the traditional HRA. Another possibility is that a VHRAM is running in real time at a NPP anticipating when the actual operator will encounter a s ituation where the PSFs are implying that he or she has an increased chance of making a mistake, as a type of risk monitoring system. 6 Conclusion This paper presented the ideas around the ongoing development of the VHRAM. We believe it is an approach that w ill have value through adding a human component to probability risk analysis simulation s, and other forms of simulations, where it has been historically under represented thus far. Further more , it is an approach that can have impacts outside of this field by contributing to traditional HRA and risk monito r ing systems in physical systems, such as NPPs. Acknowledgments. This paper was written as part of the Risk Informed Safety Ma r gin Characterization RISMC research pathway within the U.S. Department of E ner gy s Light Water Reactor Sustainability LWRS program that aims to extend the life of the currently operating fleet of commercial nuclear power plants. The research presented in this paper aims to feed into the current work on the CoBHRA approach prev iously abbreviated CBHRA called Human Unimodel for Nuclear Technology to Enhance Reliability HUNTER 16,35,36 .']", How does the text propose integrating the VHRAM with traditional HRA methods?," The text outlines two potential uses for the VHRAM in conjunction with traditional HRA. One suggestion is a combined approach where the data generated by the VHRAM can be used as part of the information an analyst collects during a traditional HRA.  Another possibility is using the VHRAM as a real-time risk monitoring system that anticipates situations where human error is more likely, potentially alerting operators to potential issues before they occur. ",60,0.000462736,0.601200971
Discussion,The Virtual Human Reliability Analyst ,The Virtual Human Reliability Analyst.pdf,academic paper,9,13,"['tic element but the clinical data is replaced by empirical or simulated plant and oper a tor performance data and treatment procedures are replaced by operating procedures. We also want to include a decision making algorithm much like the ones developed for the clinical AI applications . The primary differ ence between the clinical AI and the work here is that the VHRAM model will include the simulation of human er ror as one of the key aspects. The inspiration for the human error element stems from other fields that develop ed intelligent agents with inherent limitations as to how well they can perform. For entertainment purposes , an intelligent agent opponent in a game has to provide the player with a challenge, without performing so well that the player is without a chance to win . A chess match between a hum an and the chess computer s of today would not be entertain ing, nor would neither a soccer game where every shot made by the opponent is a goal, nor a shooting game where the opponent shoots you repeatedly through the walls . The gaming industry has dealt wi th these challenges for many years and they provide valuable guidance for how t hese ele ments can be inclu d ed in a simulation of the human component in HRA research . The simulated human has to perform realistically, but that a lso means it needs to fail realistically, which represents a prominent challenge . In the future, there could also be other uses for a VHRAM than HRA of a virtual twin. One potential use could be for a combined approach between traditional HRA and VHRAM where the aspects tha t are autopopulated by the VHRAM could be used as part of the information collected by the analyst conducting the traditional HRA. Another possibility is that a VHRAM is running in real time at a NPP anticipating when the actual operator will encounter a s ituation where the PSFs are implying that he or she has an increased chance of making a mistake, as a type of risk monitoring system. 6 Conclusion This paper presented the ideas around the ongoing development of the VHRAM. We believe it is an approach that w ill have value through adding a human component to probability risk analysis simulation s, and other forms of simulations, where it has been historically under represented thus far. Further more , it is an approach that can have impacts outside of this field by contributing to traditional HRA and risk monito r ing systems in physical systems, such as NPPs. Acknowledgments. This paper was written as part of the Risk Informed Safety Ma r gin Characterization RISMC research pathway within the U.S. Department of E ner gy s Light Water Reactor Sustainability LWRS program that aims to extend the life of the currently operating fleet of commercial nuclear power plants. The research presented in this paper aims to feed into the current work on the CoBHRA approach prev iously abbreviated CBHRA called Human Unimodel for Nuclear Technology to Enhance Reliability HUNTER 16,35,36 .']", What specific challenges does the text identify in simulating human error realistically?," The text highlights the need for the simulated human to ""perform realistically, but also means it needs to fail realistically."" This presents a challenge because the VHRAM must be capable of mimicking human mistakes in a way that feels authentic and useful for research.  This requires careful calibration to avoid scenarios where the simulated human either performs too perfectly or makes errors that are entirely unrealistic.",56,0.000111238,0.526976482
Results,The Virtual Human Reliability Analyst ,The Virtual Human Reliability Analyst.pdf,academic paper,8,13,"['4.1.4 Decision Making The HEP value can be used as a simple form of decision making, through having human error occur at the probability calculated and have the scenario developed based on this. This would however limit the decision making to a binary success or failure for each junction. A dedicated decision making algorithm will enable more nuanced decisions which can include more than outcomes. Several different forms of decision making algorithms, like those seen in both cli n ical AI and game AI, are being consid ered at the moment to be able to fully integrate the VHRAM into a dynamic scenario where it can contribute to the evolution of the scenar io. 4.1.5 Including PSFs The approach of the VHRAM is to start with a simple version and build upon that to include more aspects. The first PSF that was introduced to the model was comple x ity 14,15 . Complexity is included in most HRA methods as part of the quantification leading to the HEP 34 . This fits well with our intuitive understanding of complexity and the role it can have in the likelihood of successfully conducting a task. The fact that complexity is a multifaceted concept also means that while it is often modeled as a single PSF it has many differ aspects where the inputs can be collected from several different parts of t he simulation. Currently a second PSF, procedures, is being modeled for autopopulation and i n clusion to the VHRAM. Procedures will in the same way as complexity , to inform the model with aspects that are included in HEP calculations and the decision making algorithm. However, procedures also hold another very interesting potential. If the VHRAM includes a text mining approach that can break down procedures into a standardized unit size such as GOMS primitives they can serve as an input directly to the VHR AM 26 29 . This would be an important step in the direction of a model that can run automatically on any scenario where procedures exist. 5 The way forward The way forward for the VHRAM is to continue adding new elements and impro v ing its performance as an automatic human reliability analyst. It is a promising path of research, but there are still challenges that need to be solved. The potential value will depend on the quality of the VHRAM, but a lso the quality of the virtual twin. In an attempt to create a virtual twin , attempts are made to model every aspect of a system virtually. Naturally, in a complex system there will always be discrepancies between the actual system and the virtual twin. As this discrepancy increases, the relevance of a VHRAM, and o ther risk analysis performed using the virtual twin, will natura l ly drop in terms of what you can learn about the real system. This pa per has chosen to describe two examples , clinical AI and game develo p ment AI . These were not chosen randomly rather , they both represent aspects that we want to include in the VHRAM approach. In clinical AI an intelligent agent is created to learn from clinical data and treatment procedures. We want to include this diagno s']",  What are some of the challenges in implementing a text mining approach to extract procedures from a system and convert them into standardized units like GOMS primitives for use in the VHRAM?," While the text mentions the potential of text mining for integrating procedures into the VHRAM, it doesn't delve into the challenges involved in implementing such an approach. This question prompts a discussion about the technical complexities of extracting procedures from a system and converting them into a usable format for the VHRAM, like GOMS primitives.",48,5.92E-06,0.493329043
Results,The Virtual Human Reliability Analyst ,The Virtual Human Reliability Analyst.pdf,academic paper,8,13,"['4.1.4 Decision Making The HEP value can be used as a simple form of decision making, through having human error occur at the probability calculated and have the scenario developed based on this. This would however limit the decision making to a binary success or failure for each junction. A dedicated decision making algorithm will enable more nuanced decisions which can include more than outcomes. Several different forms of decision making algorithms, like those seen in both cli n ical AI and game AI, are being consid ered at the moment to be able to fully integrate the VHRAM into a dynamic scenario where it can contribute to the evolution of the scenar io. 4.1.5 Including PSFs The approach of the VHRAM is to start with a simple version and build upon that to include more aspects. The first PSF that was introduced to the model was comple x ity 14,15 . Complexity is included in most HRA methods as part of the quantification leading to the HEP 34 . This fits well with our intuitive understanding of complexity and the role it can have in the likelihood of successfully conducting a task. The fact that complexity is a multifaceted concept also means that while it is often modeled as a single PSF it has many differ aspects where the inputs can be collected from several different parts of t he simulation. Currently a second PSF, procedures, is being modeled for autopopulation and i n clusion to the VHRAM. Procedures will in the same way as complexity , to inform the model with aspects that are included in HEP calculations and the decision making algorithm. However, procedures also hold another very interesting potential. If the VHRAM includes a text mining approach that can break down procedures into a standardized unit size such as GOMS primitives they can serve as an input directly to the VHR AM 26 29 . This would be an important step in the direction of a model that can run automatically on any scenario where procedures exist. 5 The way forward The way forward for the VHRAM is to continue adding new elements and impro v ing its performance as an automatic human reliability analyst. It is a promising path of research, but there are still challenges that need to be solved. The potential value will depend on the quality of the VHRAM, but a lso the quality of the virtual twin. In an attempt to create a virtual twin , attempts are made to model every aspect of a system virtually. Naturally, in a complex system there will always be discrepancies between the actual system and the virtual twin. As this discrepancy increases, the relevance of a VHRAM, and o ther risk analysis performed using the virtual twin, will natura l ly drop in terms of what you can learn about the real system. This pa per has chosen to describe two examples , clinical AI and game develo p ment AI . These were not chosen randomly rather , they both represent aspects that we want to include in the VHRAM approach. In clinical AI an intelligent agent is created to learn from clinical data and treatment procedures. We want to include this diagno s']","  How do the VHRAM's developers plan to address the potential discrepancies between the virtual twin and the real system, and what impact might these discrepancies have on the VHRAM's usefulness?", The text acknowledges that discrepancies between virtual twins and real systems are inevitable. It mentions that the relevance of a VHRAM will decrease as these discrepancies increase. This question encourages a discussion about how the developers intend to minimize these differences and what strategies are in place to ensure the VHRAM remains valuable despite the potential for discrepancies.,49,1.82E-05,0.522335725
Results,The Virtual Human Reliability Analyst ,The Virtual Human Reliability Analyst.pdf,academic paper,8,13,"['4.1.4 Decision Making The HEP value can be used as a simple form of decision making, through having human error occur at the probability calculated and have the scenario developed based on this. This would however limit the decision making to a binary success or failure for each junction. A dedicated decision making algorithm will enable more nuanced decisions which can include more than outcomes. Several different forms of decision making algorithms, like those seen in both cli n ical AI and game AI, are being consid ered at the moment to be able to fully integrate the VHRAM into a dynamic scenario where it can contribute to the evolution of the scenar io. 4.1.5 Including PSFs The approach of the VHRAM is to start with a simple version and build upon that to include more aspects. The first PSF that was introduced to the model was comple x ity 14,15 . Complexity is included in most HRA methods as part of the quantification leading to the HEP 34 . This fits well with our intuitive understanding of complexity and the role it can have in the likelihood of successfully conducting a task. The fact that complexity is a multifaceted concept also means that while it is often modeled as a single PSF it has many differ aspects where the inputs can be collected from several different parts of t he simulation. Currently a second PSF, procedures, is being modeled for autopopulation and i n clusion to the VHRAM. Procedures will in the same way as complexity , to inform the model with aspects that are included in HEP calculations and the decision making algorithm. However, procedures also hold another very interesting potential. If the VHRAM includes a text mining approach that can break down procedures into a standardized unit size such as GOMS primitives they can serve as an input directly to the VHR AM 26 29 . This would be an important step in the direction of a model that can run automatically on any scenario where procedures exist. 5 The way forward The way forward for the VHRAM is to continue adding new elements and impro v ing its performance as an automatic human reliability analyst. It is a promising path of research, but there are still challenges that need to be solved. The potential value will depend on the quality of the VHRAM, but a lso the quality of the virtual twin. In an attempt to create a virtual twin , attempts are made to model every aspect of a system virtually. Naturally, in a complex system there will always be discrepancies between the actual system and the virtual twin. As this discrepancy increases, the relevance of a VHRAM, and o ther risk analysis performed using the virtual twin, will natura l ly drop in terms of what you can learn about the real system. This pa per has chosen to describe two examples , clinical AI and game develo p ment AI . These were not chosen randomly rather , they both represent aspects that we want to include in the VHRAM approach. In clinical AI an intelligent agent is created to learn from clinical data and treatment procedures. We want to include this diagno s']", What specific scenarios have been used to test the VHRAM's decision-making algorithm and how does it compare to traditional HRA methods in handling complexity and procedures?," Although the text describes the VHRAM's approach and potential, it doesn't provide specific details on actual testing or scenarios used.  This question is designed to prompt discussion about the VHRAM's practical application, including the types of scenarios it has been tested on, whether it can handle complex tasks, and how it compares to traditional HRA methods in those areas.",47,8.60E-06,0.449707156
Discussion,The Virtual Human Reliability Analyst ,The Virtual Human Reliability Analyst.pdf,academic paper,7,13,"['As the VHRAM improves it is likely that more and more aspe cts are included as autopopulated inputs. However, it is also likely that some information that could be relevant to human reliability will not be available in the simulation, such as the h u man machine interface quality or teamwork problems . If specific as pects like these are focus areas of an analysis it should be possible to inform the model through pre populated factors connected to either the scenario or specific tasks. 4.1.2 GOMS HRA In many of the traditional HRA methods it is not specified to which level a task should be decom posed before it is quant ified 25 . Depending on the method and situation , quantification could be done anywhere from on a very high level e.g. D e pressurize segment A to a very low level Press button A . Methods that do not spec i fy the level at which quantification should occur will have more flexibility, but as the quantification level can influence the results , it is also a source of lower relia bility 25 . As the VHRAM is an automated approach it was decided that it would quantify at a low level, a level defined as the subtask level. GOMS HRA 26 28 is currently in development as a method for standardizing tasks at a subtask level . The subtask level of analysis is suitable more modeling time series activitie s of operators in dy namic HRA. GOMS HRA provides task level primitives, which are meant to be universal types of tasks performed by hum ans. Because activities in NPPs are generally highly proceduralized, it is also possible to map procedure steps to their underlying task GOMS level primitives 29 . 4.1.3 HEP equation The traditional output of an HRA in the evaluation of a task in addition to any qualitative descriptions a nd recommendations is the HEP. The use of the term h u man error is controversial in human factors and safety research 30 . Some argue that the term implies that the human is to blame for the error 31 , others that the term is misleading, as the actions made by the operator can be reasonable to the operator at the time only to be considered a n error retrospectively 32 . In HRA the term HEP is simply the probability that the operator will not continue on the intended path that avoids an accident from occurring, without blaming the operator for the mistake. In fact, as most of the PSFs included in many HR A methods e.g. 3,8 are factors e x ternal to the operator HRA is often mainly concerned about which external factors could cause the operator to fail. Currently the virtual analyst is based on a stochastic multiple regressio n with each input a s a variable. In the future hopefully empirical data, from simulators or actual installations, can be used either to calibrate the coefficients of the stochastic multiple regression equation, or modify the approach if a more suited model is found.']"," The discussion emphasizes the controversy surrounding the term ""human error"" in safety research. How does the VHRAM approach the evaluation of human performance, avoiding the potential pitfalls associated with the term ""human error?"""," The VHRAM avoids the problematic term ""human error"" by focusing on the probability of the operator deviating from a safe path. This approach emphasizes the factors that can influence the operator's actions rather than attributing mistakes solely to human fallibility. By focusing on external factors, the VHRAM aims to identify the potential causes of human errors and recommend solutions for improving human reliability.",48,4.15E-05,0.501656302
Discussion,The Virtual Human Reliability Analyst ,The Virtual Human Reliability Analyst.pdf,academic paper,7,13,"['As the VHRAM improves it is likely that more and more aspe cts are included as autopopulated inputs. However, it is also likely that some information that could be relevant to human reliability will not be available in the simulation, such as the h u man machine interface quality or teamwork problems . If specific as pects like these are focus areas of an analysis it should be possible to inform the model through pre populated factors connected to either the scenario or specific tasks. 4.1.2 GOMS HRA In many of the traditional HRA methods it is not specified to which level a task should be decom posed before it is quant ified 25 . Depending on the method and situation , quantification could be done anywhere from on a very high level e.g. D e pressurize segment A to a very low level Press button A . Methods that do not spec i fy the level at which quantification should occur will have more flexibility, but as the quantification level can influence the results , it is also a source of lower relia bility 25 . As the VHRAM is an automated approach it was decided that it would quantify at a low level, a level defined as the subtask level. GOMS HRA 26 28 is currently in development as a method for standardizing tasks at a subtask level . The subtask level of analysis is suitable more modeling time series activitie s of operators in dy namic HRA. GOMS HRA provides task level primitives, which are meant to be universal types of tasks performed by hum ans. Because activities in NPPs are generally highly proceduralized, it is also possible to map procedure steps to their underlying task GOMS level primitives 29 . 4.1.3 HEP equation The traditional output of an HRA in the evaluation of a task in addition to any qualitative descriptions a nd recommendations is the HEP. The use of the term h u man error is controversial in human factors and safety research 30 . Some argue that the term implies that the human is to blame for the error 31 , others that the term is misleading, as the actions made by the operator can be reasonable to the operator at the time only to be considered a n error retrospectively 32 . In HRA the term HEP is simply the probability that the operator will not continue on the intended path that avoids an accident from occurring, without blaming the operator for the mistake. In fact, as most of the PSFs included in many HR A methods e.g. 3,8 are factors e x ternal to the operator HRA is often mainly concerned about which external factors could cause the operator to fail. Currently the virtual analyst is based on a stochastic multiple regressio n with each input a s a variable. In the future hopefully empirical data, from simulators or actual installations, can be used either to calibrate the coefficients of the stochastic multiple regression equation, or modify the approach if a more suited model is found.']", The text explains that the GOMS HRA method decomposes tasks into subtasks for quantification. How does this subtask level of analysis benefit the VHRAM?," The subtask level analysis within GOMS HRA is particularly well-suited for modeling time series activities of operators in dynamic settings, which are relevant in many scenarios. This approach provides a standardized way to break down tasks, allowing for better understanding of the operator's actions and potential for error. This method significantly improves VHRAM's ability to analyze the operator's actions in dynamic, time-sensitive environments. ",51,5.92E-05,0.430708914
Discussion,The Virtual Human Reliability Analyst ,The Virtual Human Reliability Analyst.pdf,academic paper,7,13,"['As the VHRAM improves it is likely that more and more aspe cts are included as autopopulated inputs. However, it is also likely that some information that could be relevant to human reliability will not be available in the simulation, such as the h u man machine interface quality or teamwork problems . If specific as pects like these are focus areas of an analysis it should be possible to inform the model through pre populated factors connected to either the scenario or specific tasks. 4.1.2 GOMS HRA In many of the traditional HRA methods it is not specified to which level a task should be decom posed before it is quant ified 25 . Depending on the method and situation , quantification could be done anywhere from on a very high level e.g. D e pressurize segment A to a very low level Press button A . Methods that do not spec i fy the level at which quantification should occur will have more flexibility, but as the quantification level can influence the results , it is also a source of lower relia bility 25 . As the VHRAM is an automated approach it was decided that it would quantify at a low level, a level defined as the subtask level. GOMS HRA 26 28 is currently in development as a method for standardizing tasks at a subtask level . The subtask level of analysis is suitable more modeling time series activitie s of operators in dy namic HRA. GOMS HRA provides task level primitives, which are meant to be universal types of tasks performed by hum ans. Because activities in NPPs are generally highly proceduralized, it is also possible to map procedure steps to their underlying task GOMS level primitives 29 . 4.1.3 HEP equation The traditional output of an HRA in the evaluation of a task in addition to any qualitative descriptions a nd recommendations is the HEP. The use of the term h u man error is controversial in human factors and safety research 30 . Some argue that the term implies that the human is to blame for the error 31 , others that the term is misleading, as the actions made by the operator can be reasonable to the operator at the time only to be considered a n error retrospectively 32 . In HRA the term HEP is simply the probability that the operator will not continue on the intended path that avoids an accident from occurring, without blaming the operator for the mistake. In fact, as most of the PSFs included in many HR A methods e.g. 3,8 are factors e x ternal to the operator HRA is often mainly concerned about which external factors could cause the operator to fail. Currently the virtual analyst is based on a stochastic multiple regressio n with each input a s a variable. In the future hopefully empirical data, from simulators or actual installations, can be used either to calibrate the coefficients of the stochastic multiple regression equation, or modify the approach if a more suited model is found.']"," The text mentions that the Virtual Human Reliability Analyst (VHRAM) may not have access to all relevant information about human reliability, such as human-machine interface quality or teamwork problems. How does the VHRAM address the potential absence of such crucial factors?"," The VHRAM attempts to address this limitation by allowing the inclusion of pre-populated factors that relate to the specific scenario or task being analyzed. This enables the model to be informed about specific areas of concern, even if the simulation itself doesn't directly include them. This approach ensures that the analysis can be tailored to incorporate key human reliability aspects even if the simulation lacks certain details. ",47,4.28E-05,0.47412516
Background,The Virtual Human Reliability Analyst ,The Virtual Human Reliability Analyst.pdf,academic paper,6,13,"['enemy sh ips, but Pac Man included decision making where the enemies chose a route at each junction, combining an effort to achieve their goal which , depending on the situation , meant chasing or escaping and an element of randomness to keep things interesting 20 . This was done through a simple set of rules and a random number generator . Later games added aspects such as perception to their NPCs , as exempl i fied in Metal Gear Solid and Goldeneye . This perception provided each NPC with limited knowledge about what w as going on in the game and would only react after they saw or heard something. Another interesting AI element, strategic AI, was introduced at about the same time, where the NPCs would employ a number of diffe r ent strategies to defeat or cooperate wit h the player 20 . Since the introduction of these cognition like elements , new and improved versions have been created to suit the need for each in dividual game. Today the quality of the AI is often a highlighted aspect in modern day videogame reviews, which can result in the monetary success or failure of a videogame launch. Although there are naturally many differences between the purpose of AI elements in games and what we are trying to achieve with the V HRAM there are certainly overlaps. The inclusion of a human element in a simulated scenario is in many ways the same as including a game character in a game world. A decision making system is required, the V HRAM should base its decisions on the information it has observed , and it should follow a strategy . Perhaps the largest difference is that we do not intend to introduce a human player to the system, rather let the VHR AM play by itself in the virtual world . 4 Implementing the Virtual Analyst The VHRAM is still in development, and changes can still occur in both the ge n eral solution and the details of ho w we have chosen to include it.The symbolic a p proach to AI describes it as being made up of two components, knowledge and rea soning 20 . Knowledge is often a database , and re asoning is how this knowledge is used. In a similar manner, the VHRAM will consist of two main aspects 1 relevant i n formation prepopulated though task categorization and autopopulated from the sim u lation knowledge and 2 the algorithms reasoning that use the inputs to d e termine the HEP, time spent on the task , and the decision s on which path to take in a dynamic scenario. 4.1.1 Autopopulation The autopopulated input is automatically gathered from the information already present in the simulation. Examples of the autopopulation are 14 15 Total size of the task or scenario Number of tasks per time Time in scenario Number of procedures used by the operator Number of page shifts done by the operator in the procedures']","  What two main components are highlighted as crucial for the VHRAM's functionality, and how do they relate to the symbolic approach to AI?","  The text describes the VHRAM as consisting of two key components: ""relevant information"" (knowledge) and ""algorithms reasoning"" (reasoning). This directly aligns with the symbolic approach to AI, which emphasizes the importance of knowledge representation and reasoning processes. In the VHRAM's case, relevant information is gathered through task categorization and simulation data, while the reasoning algorithms use this knowledge to determine critical factors like expected human performance and decision-making within the simulation.",53,0.000110563,0.604619338
